group,roi,episode_id,segment_rows,tr_rows,warning_count,failed_batches,zero_filled_segments,mean_score_value,std_score_value,nonzero_value_rate,all_zero_segment_rate,all_zero_tr_rate,provider,model
round5_add10,Precuneus,s02e04b,259,454,0,0,0,3.9703989703989704,2.1563169826409356,0.9671814671814671,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s02e05b,264,455,0,0,0,3.854482323232323,2.1679713693389475,0.9308712121212122,0.007575757575757576,0.008791208791208791,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e01a,269,491,0,0,0,2.9092317224287485,1.8023807825590499,0.8962205700123915,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e01b,264,491,0,0,0,3.0972222222222223,1.7453089683668415,0.9267676767676768,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e02a,272,475,0,0,0,3.2043504901960786,1.8378424570034466,0.9332107843137255,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e02b,282,475,0,0,0,3.1403664302600474,1.8220417866635907,0.9476950354609929,0.0035460992907801418,0.00631578947368421,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e03a,253,454,0,0,0,3.2292490118577075,1.6626211792490282,0.958498023715415,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e03b,284,454,0,0,0,3.215669014084507,1.6785797773272737,0.9618544600938967,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,Precuneus,s03e04a,268,473,0,0,0,3.1240671641791047,1.6467872764256561,0.9685945273631841,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,IPL,s02e03b,255,464,0,0,0,1.5516339869281046,1.5117883006672697,0.6650980392156862,0.00784313725490196,0.008620689655172414,aihubmix,gemini-3.5-flash
round5_add10,IPL,s02e04b,259,454,0,0,0,2.045302445302445,1.987608120603247,0.7009009009009008,0.0,0.0,aihubmix,gemini-3.5-flash
